"","country","totalCases","totalNewCases","estimate","lower","upper","population","propCurrentlyInfMid","propCurrentlyInfLow","propCurrentlyInfHigh"
"101","Sao Tome and Principe",499,248,0.691126748949698,0.300897404658846,0.997481933773588,219161,0.0033,0.0015,0.013
"102","Saudi Arabia",93157,25438,0.504624617843896,0.364942062555468,0.693594533924582,34813867,0.0029,0.0014,0.0067
"103","Senegal",4021,1112,0.865037834884699,0.633991840996803,0.99972179514543,16743930,0.00015,0.000086,0.00035
"104","Serbia",11571,547,0.946579288328865,0.732252904641253,0.999998187658973,8737370,0.00013,0.000081,0.00028
"105","Sierra Leone",914,308,0.452490790537283,0.223770522505835,0.774784569810546,7976985,0.00017,0.000065,0.00058
"106","Singapore",36922,6496,0.894075237672178,0.55103782643797,0.999997537130175,5850343,0.0025,0.0014,0.0067
"107","Sint Maarten",77,0,0.124585019436386,0.0407389091061092,0.333517755947724,42882,0,0,0
"108","Slovakia",1526,23,0.732624743414326,0.426896801857663,0.993482635247397,5459643,0.000012,0.0000055,0.000033
"109","Slovenia",1477,9,0.182924433075635,0.101691724018117,0.341040597935809,2078932,0.000047,0.000016,0.00014
"110","Somalia",2204,610,0.509683198854952,0.272820768875474,0.816332797768185,15893219,0.00015,0.000061,0.00047
"111","South Africa",40792,20667,0.394317428251342,0.317491628012787,0.474987854900213,59308690,0.0018,0.00095,0.0037
"112","South Korea",11668,503,0.640295446327157,0.330568901733391,0.967687298794441,51269183,0.000031,0.000013,0.000099
"113","Spain",240660,5370,0.0850127956530699,0.0688150595267878,0.101983967381723,46754783,0.0027,0.0015,0.0056
"114","Sri Lanka",1797,729,0.876645577430201,0.58648456529284,0.999983790222047,21413250,0.000078,0.000044,0.00019
"115","Sudan",5499,2121,0.159015387071574,0.11039516807611,0.220285071204216,43849269,0.00061,0.00029,0.0015
"116","Sweden",41883,9074,0.156548596554843,0.123413847671186,0.192966761427669,10099270,0.011,0.006,0.024
"117","Switzerland",30830,206,0.313418485392065,0.221865425101345,0.432752355629522,8654618,0.00015,0.000071,0.00036
"118","Tajikistan",4289,1939,0.980808560628429,0.891444098329483,0.999999825686059,9537642,0.00041,0.00026,0.00076
"119","Thailand",3102,62,0.761322549474731,0.451604597268331,0.998152021839405,69799978,0.0000023,0.0000012,0.0000066
"120","Togo",465,102,0.772127739188678,0.405358887899862,0.99962790938866,8278737,0.000032,0.000016,0.0001
"121","Tunisia",1087,39,0.455462043206827,0.156919228599588,0.946583123285698,11818618,0.000014,0.0000045,0.00007
